111 Old Benbrook Rd|D & B Used Cars|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
10113|2005|Chevrolet|Tahoe|SUV|Black|120500|12500.00
10114|2010|Toyota|Camry|Sedan|Blue|85300|10200.00
10115|2008|Nissan|Altima|Sedan|Silver|95750|8500.00
10116|2015|Subaru|Outback|SUV|Green|45600|24000.00
10117|2017|Ford|F-150|Truck|White|30400|32000.00
10118|2004|Hyundai|Elantra|Sedan|Red|160000|3500.00
10119|2019|Honda|CR-V|SUV|Gray|20000|28000.00
10120|2013|Dodge|Ram 1500|Truck|Blue|75800|22500.00
10121|2006|Volkswagen|Jetta|Sedan|Black|120000|6000.00
10122|2002|Mazda|CX-7|SUV|White|130000|4500.00
10123|2014|Kia|Soul|Hatchback|Orange|40000|15000.00
10124|2011|Chrysler|300|Sedan|Brown|90000|12000.00
10125|2009|Ford|Escape|SUV|Silver|85000|9500.00
10126|2003|Toyota|Tacoma|Truck|Green|150000|8000.00
10127|2016|Chevrolet|Malibu|Sedan|Blue|25000|21000.00
